VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1419;Tjörn;Alternativ för Sverige;AfS;1325;
KF;1419;Tjörn;ANDOPARTIET; ;1602;
KF;1419;Tjörn;Arbetarepartiet-Socialdemokraterna;S;2;20.9982942813538
KF;1419;Tjörn;Basinkomstpartiet; ;1525;
KF;1419;Tjörn;BOHUSLÄNPARTIET; ;1506;
KF;1419;Tjörn;Centerpartiet;C;4;6.068767393841458
KF;1419;Tjörn;Common sense in Sweden;CSIS;1318;0.0
KF;1419;Tjörn;Direktdemokraterna;DD;1150;0.0
KF;1419;Tjörn;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1419;Tjörn;Enad Politik; ;1589;
KF;1419;Tjörn;Enade Sverige; ;1448;
KF;1419;Tjörn;Enhet;ENH;189;0.0
KF;1419;Tjörn;EUSEC; ;1534;
KF;1419;Tjörn;Feministiskt initiativ;FI;532;0.1975042642966155
KF;1419;Tjörn;FOLKOMROSTA2021.SE; ;1489;
KF;1419;Tjörn;FramtidsTro;FT;1449;
KF;1419;Tjörn;Fredspartiet; ;1484;
KF;1419;Tjörn;Fria Wermland; ;1548;
KF;1419;Tjörn;Frihetsrörelsen; ;1573;
KF;1419;Tjörn;Fritt val; ;1479;
KF;1419;Tjörn;Förenade Demokratiska Partiet; ;1577;
KF;1419;Tjörn;Företaget Sverige; ;1510;
KF;1419;Tjörn;GRÖNA DEMOKRATER; ;1601;
KF;1419;Tjörn;Gula västarna; ;1436;
KF;1419;Tjörn;Humanistisk demokrati (HD);HD;1480;
KF;1419;Tjörn;John Mikkonen; ;1598;
KF;1419;Tjörn;Kalle ankapartiet; ;1579;
KF;1419;Tjörn;Kapitalism med vänligt ansikte; ;1495;
KF;1419;Tjörn;Klassiskt liberala partiet;KLP;638;0.0
KF;1419;Tjörn;Knapptryckarna; ;1505;
KF;1419;Tjörn;Kristdemokraterna;KD;68;7.92710297154143
KF;1419;Tjörn;Kristna Värdepartiet; ;1551;
KF;1419;Tjörn;Kärlek; ;1465;
KF;1419;Tjörn;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1419;Tjörn;Liberalerna (tidigare Folkpartiet);L;3;15.082143819014274
KF;1419;Tjörn;Majspartiet; ;1471;
KF;1419;Tjörn;Medborgarresan; ;1330;
KF;1419;Tjörn;Medborgerlig Samling;MED;1296;0.13466199838405601
KF;1419;Tjörn;Miljöpartiet de gröna;MP;55;3.7436035550767577
KF;1419;Tjörn;Min röst; ;1437;
KF;1419;Tjörn;MITT SVERIGE; ;1591;
KF;1419;Tjörn;Moderaterna;M;1;19.849178561809858
KF;1419;Tjörn;Monisterna; ;1502;
KF;1419;Tjörn;Mälaröarnas parti; ;1440;
KF;1419;Tjörn;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1419;Tjörn;NaturFilosoferna; ;1460;
KF;1419;Tjörn;Nix to the Six; ;1519;
KF;1419;Tjörn;NY REFORM; ;1528;
KF;1419;Tjörn;Nya Frihetspartiet; ;1443;
KF;1419;Tjörn;Nya Samhällspartiet; ;1438;
KF;1419;Tjörn;OK; ;1478;
KF;1419;Tjörn;Ond Kyckling Partiet; ;1472;
KF;1419;Tjörn;Partiet Folkomröstning; ;1578;
KF;1419;Tjörn;Partiet Nyans; ;1439;
KF;1419;Tjörn;Partiet Vändpunkt;PV;1430;
KF;1419;Tjörn;Pax; ;1491;
KF;1419;Tjörn;Piratpartiet;PP;524;0.0
KF;1419;Tjörn;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1419;Tjörn;Rastliberalerna; ;1508;
KF;1419;Tjörn;Rikspolitiska partiet; ;1496;
KF;1419;Tjörn;SKP; ;1586;
KF;1419;Tjörn;SKÅNEPARTIET;SKÅ;54;0.0
KF;1419;Tjörn;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1419;Tjörn;Sociallibertarianerna; ;1507;
KF;1419;Tjörn;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1419;Tjörn;Stram Kurs Sverige; ;1592;
KF;1419;Tjörn;Svenska Rikslagen; ;1513;
KF;1419;Tjörn;SVENSKARNA; ;1444;
KF;1419;Tjörn;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1419;Tjörn;Sverigedemokraterna;SD;110;10.027830146332704
KF;1419;Tjörn;Sverigepartiet; ;1457;
KF;1419;Tjörn;Swexitpartiet; ;1461;
KF;1419;Tjörn;Säkerhetspartiet; ;1466;
KF;1419;Tjörn;TJÖRNPARTIET;TJÖP;1196;12.263219319508035
KF;1419;Tjörn;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1419;Tjörn;Valsamverkanspartiet; ;1526;
KF;1419;Tjörn;Vinningspartiet; ;1468;
KF;1419;Tjörn;Vänsterpartiet;V;5;3.689738755723135
KF;1419;Tjörn;Yggdrasil; ;1454;
KF;1419;Tjörn;Ändrings partiet revolution; ;1404;
