VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2021;Vansbro;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2021;Vansbro;ANDOPARTIET; ;1602;;
KF;2021;Vansbro;Arbetarepartiet-Socialdemokraterna;S;2;23.83281458425967;https://www.socialdemokraterna.se/
KF;2021;Vansbro;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2021;Vansbro;Centerpartiet;C;4;26.411738550466872;https://www.centerpartiet.se/
KF;2021;Vansbro;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2021;Vansbro;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2021;Vansbro;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2021;Vansbro;Enad Politik; ;1589;;
KF;2021;Vansbro;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2021;Vansbro;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2021;Vansbro;EUSEC; ;1534;;
KF;2021;Vansbro;Feministiskt initiativ;FI;532;0.15562472209871053;https://feministisktinitiativ.se/
KF;2021;Vansbro;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2021;Vansbro;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2021;Vansbro;Fredspartiet; ;1484;;
KF;2021;Vansbro;Fria Wermland; ;1548;;https://friawermland.se/
KF;2021;Vansbro;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2021;Vansbro;Fritt val; ;1479;;
KF;2021;Vansbro;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2021;Vansbro;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2021;Vansbro;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2021;Vansbro;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2021;Vansbro;Humanistisk demokrati (HD);HD;1480;;
KF;2021;Vansbro;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2021;Vansbro;Kalle ankapartiet; ;1579;;
KF;2021;Vansbro;Kapitalism med vänligt ansikte; ;1495;;
KF;2021;Vansbro;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2021;Vansbro;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2021;Vansbro;Kommunpartiet - Vansbro;Kp;990;5.869275233437083;https://twitter.com/Kommunpartiet
KF;2021;Vansbro;Kristdemokraterna;KD;68;13.917296576256113;https://kristdemokraterna.se/
KF;2021;Vansbro;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2021;Vansbro;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2021;Vansbro;Landsbygdspartiet Oberoende;LPo;1011;7.781236104935527;https://landsbygdspartiet.org/
KF;2021;Vansbro;Liberalerna (tidigare Folkpartiet);L;3;1.9119608714984435;https://www.liberalerna.se/
KF;2021;Vansbro;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2021;Vansbro;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2021;Vansbro;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2021;Vansbro;Miljöpartiet de gröna;MP;55;0.4001778568252557;https://www.mp.se/
KF;2021;Vansbro;Min röst; ;1437;;
KF;2021;Vansbro;MITT SVERIGE; ;1591;;
KF;2021;Vansbro;Moderaterna;M;1;9.804357492218765;https://moderaterna.se/
KF;2021;Vansbro;Monisterna; ;1502;;
KF;2021;Vansbro;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2021;Vansbro;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2021;Vansbro;NaturFilosoferna; ;1460;;
KF;2021;Vansbro;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2021;Vansbro;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2021;Vansbro;Nya Frihetspartiet; ;1443;;
KF;2021;Vansbro;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2021;Vansbro;OK; ;1478;;
KF;2021;Vansbro;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2021;Vansbro;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2021;Vansbro;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;2021;Vansbro;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2021;Vansbro;Pax; ;1491;;https://www.paxpartiet.se/
KF;2021;Vansbro;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2021;Vansbro;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2021;Vansbro;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2021;Vansbro;Rikspolitiska partiet; ;1496;;
KF;2021;Vansbro;SKP; ;1586;;https://skp.se
KF;2021;Vansbro;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2021;Vansbro;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2021;Vansbro;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2021;Vansbro;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2021;Vansbro;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2021;Vansbro;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2021;Vansbro;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2021;Vansbro;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2021;Vansbro;Sverigedemokraterna;SD;110;2.8012449977767897;https://sd.se/
KF;2021;Vansbro;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2021;Vansbro;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2021;Vansbro;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2021;Vansbro;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2021;Vansbro;Valsamverkanspartiet; ;1526;;
KF;2021;Vansbro;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2021;Vansbro;Vänsterpartiet;V;5;7.092040907069809;https://www.vansterpartiet.se/
KF;2021;Vansbro;Yggdrasil; ;1454;;
KF;2021;Vansbro;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
